,Rank,Name,Industry,Revenue (USD millions),Revenue growth %,Employees,Headquarters,City,State
0,1,Walmart,Retail,611289.0,6.7,2100000,"Bentonville, Arkansas",Bentonville, Arkansas
1,2,Amazon,Retail and cloud computing,513983.0,9.4,1540000,"Seattle, Washington",Seattle, Washington
2,3,ExxonMobil,Petroleum industry,413680.0,44.8,62000,"Spring, Texas",Spring, Texas
3,4,Apple,Electronics industry,394328.0,7.8,164000,"Cupertino, California",Cupertino, California
4,5,UnitedHealth Group,Healthcare,324162.0,12.7,400000,"Minnetonka, Minnesota",Minnetonka, Minnesota
5,6,CVS Health,Healthcare,322467.0,10.4,259500,"Woonsocket, Rhode Island",Woonsocket, Rhode Island
6,7,Berkshire Hathaway,Conglomerate,302089.0,9.4,383000,"Omaha, Nebraska",Omaha, Nebraska
7,8,Alphabet,Technology and cloud computing,282836.0,9.8,156000,"Mountain View, California",Mountain View, California
8,9,McKesson Corporation,Health,276711.0,4.8,48500,"Irving, Texas",Irving, Texas
9,10,Chevron Corporation,Petroleum industry,246252.0,51.6,43846,"San Ramon, California",San Ramon, California
10,11,Cencora,Pharmacy wholesale,238587.0,11.5,41500,"Chesterbrook, Pennsylvania",Chesterbrook, Pennsylvania
11,12,Costco,Retail,226954.0,15.8,304000,"Issaquah, Washington",Issaquah, Washington
12,13,Microsoft,Technology and cloud computing,198270.0,18.0,221000,"Redmond, Washington",Redmond, Washington
13,14,Cardinal Health,Healthcare,181364.0,11.6,46035,"Dublin, Ohio",Dublin, Ohio
14,15,Cigna,Health insurance,180516.0,3.7,70231,"Bloomfield, Connecticut",Bloomfield, Connecticut
15,16,Marathon Petroleum,Petroleum industry,180012.0,27.6,17800,"Findlay, Ohio",Findlay, Ohio
16,17,Phillips 66,Petroleum industry,175702.0,53.0,13000,"Houston, Texas",Houston, Texas
17,18,Valero Energy,Petroleum industry,171189.0,58.0,9743,"San Antonio, Texas",San Antonio, Texas
18,19,Ford Motor Company,Automotive industry,158057.0,15.9,173000,"Dearborn, Michigan",Dearborn, Michigan
19,20,The Home Depot,Retail,157403.0,4.1,471600,"Atlanta, Georgia",Atlanta, Georgia
20,21,General Motors,Automotive industry,156735.0,23.4,167000,"Detroit, Michigan",Detroit, Michigan
21,22,Elevance Health,Healthcare,156595.0,13.0,102200,"Indianapolis, Indiana",Indianapolis, Indiana
22,23,JPMorgan Chase,Financial services,154792.0,21.7,293723,"New York City, New York",New York City, New York
23,24,Kroger,Retail,148258.0,7.5,430000,"Cincinnati, Ohio",Cincinnati, Ohio
24,25,Centene,Healthcare,144547.0,14.7,74300,"St. Louis, Missouri",St. Louis, Missouri
25,26,Verizon Communications,Telecommunications,136835.0,2.4,117100,"New York City, New York",New York City, New York
26,27,Walgreens Boots Alliance,Pharmaceutical industry,132703.0,10.7,262500,"Deerfield, Illinois",Deerfield, Illinois
27,28,Fannie Mae,Financials,121596.0,19.7,8000,"Washington, D.C.",Washington, D.C.
28,29,Comcast,Telecommunications,121427.0,4.3,186000,"Philadelphia, Pennsylvania",Philadelphia, Pennsylvania
29,30,AT&T,Conglomerate and telecomunications,120741.0,28.5,160700,"Dallas, Texas",Dallas, Texas
30,31,Meta Platforms,Technology,116609.0,1.1,86482,"Menlo Park, California",Menlo Park, California
31,32,Bank of America,Financials,115053.0,22.6,216823,"Charlotte, North Carolina",Charlotte, North Carolina
32,33,Target Corporation,Retail,109120.0,2.9,440000,"Minneapolis, Minnesota",Minneapolis, Minnesota
33,34,Dell Technologies,Technology,102301.0,4.4,133000,"Round Rock, Texas",Round Rock, Texas
34,35,Archer Daniels Midland,Food industry,101556.0,19.1,41181,"Chicago, Illinois",Chicago, Illinois
35,36,Citigroup,Financials,101078.0,26.6,238104,"New York City, New York",New York City, New York
36,37,United Parcel Service,Transportation,100338.0,3.1,404700,"Atlanta, Georgia",Atlanta, Georgia
37,38,Pfizer,Pharmaceutical industry,100330.0,23.4,83000,"New York City, New York",New York City, New York
38,39,Lowe's,Retail,97059.0,0.8,244500,"Mooresville, North Carolina",Mooresville, North Carolina
39,40,Johnson & Johnson,Pharmaceutical industry,94943.0,1.2,152700,"New Brunswick, New Jersey",New Brunswick, New Jersey
40,41,FedEx,Transportation,93512.0,11.4,518249,"Memphis, Tennessee",Memphis, Tennessee
41,42,Humana,Health insurance,92870.0,11.8,67100,"Louisville, Kentucky",Louisville, Kentucky
42,43,Energy Transfer Partners,Petroleum industry,89876.0,33.3,12565,"Dallas, Texas",Dallas, Texas
43,44,State Farm,Financials,89328.0,8.6,60519,"Bloomington, Illinois",Bloomington, Illinois
44,45,Freddie Mac,Financials,86717.0,31.6,7819,"McLean, Virginia",McLean, Virginia
45,46,PepsiCo,Beverage,86859.0,8.7,315000,"Purchase, New York",Purchase, New York
46,47,Wells Fargo,Financials,82859.0,0.5,238000,"San Francisco, California",San Francisco, California
47,48,The Walt Disney Company,Media,82722.0,22.7,195800,"Burbank, California",Burbank, California
48,49,ConocoPhillips,Petroleum industry,82156.0,69.9,9500,"Houston, Texas",Houston, Texas
